10000	0	0	0	0
20000	0	0	9501	4249
30000	1	1	18148	6524
40000	4	4	26096	8374
50000	10	10	33488	9864
60000	16	16	40252	11151
70000	20	20	46578	12361
80000	25	25	52570	13487
90000	37	36	58218	14434
100000	57	56	63524	15376
110000	67	66	68507	16261
120000	82	81	73194	17096
130000	99	98	77679	17844
140000	119	118	81886	18561
150000	148	147	85930	19243
160000	175	174	89832	19943
170000	216	215	93592	20585
180000	261	260	97169	21231
190000	311	310	100643	21848
200000	395	394	103950	22426
210000	464	463	107135	22990
220000	543	542	110254	23554
230000	620	619	113161	24050
240000	727	726	116015	24541
250000	843	842	118727	25014
260000	973	971	121390	25516
270000	1114	1112	123998	26010
280000	1252	1250	126552	26468
290000	1397	1395	128935	26919
300000	1550	1546	131286	27346
310000	1739	1735	133595	27775
320000	1934	1930	135840	28208
330000	2128	2124	137885	28586
340000	2346	2341	139885	28987
350000	2602	2597	141920	29366
360000	2858	2852	143853	29760
370000	3143	3136	145663	30139
380000	3417	3410	147464	30479
390000	3720	3713	149260	30800
400000	4008	4001	150981	31133
410000	4325	4318	152615	31471
420000	4655	4648	154258	31767
430000	5030	5023	155840	32110
440000	5378	5371	157432	32434
450000	5785	5778	158938	32759
460000	6187	6180	160357	33063
470000	6600	6593	161794	33384
480000	6996	6988	163198	33711
490000	7401	7393	164527	34024
500000	7882	7872	165875	34327
510000	8357	8347	167210	34650
520000	8860	8850	168516	34945
530000	9347	9337	169793	35229
540000	9832	9822	171050	35510
550000	10385	10375	172266	35791
560000	10929	10918	173399	36044
570000	11483	11472	174551	36291
580000	12046	12034	175649	36554
590000	12617	12605	176714	36845
600000	13221	13209	177838	37094
610000	13790	13778	178893	37373
620000	14396	14383	179953	37604
630000	15023	15010	181000	37829
640000	15642	15628	182015	38072
650000	16293	16279	183037	38278
660000	16966	16951	184003	38530
670000	17658	17643	184932	38770
680000	18345	18330	185882	38987
690000	19043	19028	186766	39225
700000	19796	19779	187684	39452
710000	20536	20519	188554	39670
720000	21277	21260	189427	39894
730000	22039	22022	190294	40112
740000	22805	22788	191102	40311
750000	23567	23549	191985	40539
760000	24320	24302	192809	40760
770000	25160	25142	193578	40970
780000	25974	25956	194341	41179
790000	26837	26819	195105	41387
800000	27694	27676	195868	41585
810000	28514	28496	196618	41783
820000	29439	29421	197386	41987
830000	30302	30284	198094	42188
840000	31220	31202	198807	42382
850000	32097	32079	199513	42588
860000	33009	32989	200200	42804
870000	33945	33925	200877	43011
880000	34901	34881	201513	43220
890000	35865	35845	202200	43421
900000	36812	36792	202866	43620
910000	37779	37758	203522	43804
920000	38808	38787	204122	43991
930000	39817	39796	204698	44164
940000	40865	40844	205296	44346
950000	41898	41877	205895	44541
960000	42954	42933	206489	44738
970000	43997	43976	207069	44919
980000	45028	45005	207652	45103
990000	46098	46075	208274	45271
1000000	47175	47151	208818	45448
1010000	48294	48270	209393	45647
1020000	49424	49400	209941	45820
1030000	50581	50557	210509	45996
1040000	51691	51667	211008	46190
1050000	52836	52812	211599	46359
1060000	54002	53978	212104	46526
1070000	55124	55100	212620	46692
1080000	56227	56203	213117	46861
1090000	57374	57349	213660	47026
1100000	58574	58549	214170	47171
