10000	0	0	0	0
20000	0	0	9501	4249
30000	1	0	18148	6524
40000	4	0	26096	8374
50000	9	0	33488	9864
60000	18	2	40252	11151
70000	21	2	46578	12361
80000	31	2	52570	13487
90000	44	2	58218	14434
100000	60	2	63524	15376
110000	84	2	68507	16261
120000	111	3	73194	17096
130000	135	3	77679	17844
140000	159	4	81886	18561
150000	191	4	85930	19243
160000	233	5	89832	19943
170000	285	7	93592	20585
180000	346	8	97169	21231
190000	404	9	100643	21848
200000	477	11	103950	22426
210000	555	16	107135	22990
220000	620	17	110254	23554
230000	693	18	113161	24050
240000	784	20	116015	24541
250000	896	25	118727	25014
260000	1012	29	121390	25516
270000	1151	31	123998	26010
280000	1294	39	126552	26468
290000	1425	44	128935	26919
300000	1570	56	131286	27346
310000	1740	63	133595	27775
320000	1921	68	135840	28208
330000	2097	74	137885	28586
340000	2281	81	139885	28987
350000	2492	87	141920	29366
360000	2716	95	143853	29760
370000	2955	115	145663	30139
380000	3182	123	147464	30479
390000	3445	142	149260	30800
400000	3696	153	150981	31133
410000	3976	163	152615	31471
420000	4259	179	154258	31767
430000	4573	191	155840	32110
440000	4873	203	157432	32434
450000	5193	211	158938	32759
460000	5533	223	160357	33063
470000	5913	241	161794	33384
480000	6240	254	163198	33711
490000	6594	263	164527	34024
500000	6974	276	165875	34327
510000	7375	293	167210	34650
520000	7812	316	168516	34945
530000	8224	332	169793	35229
540000	8616	354	171050	35510
550000	9081	373	172266	35791
560000	9521	389	173399	36044
570000	9972	407	174551	36291
580000	10453	428	175649	36554
590000	10937	451	176714	36845
600000	11449	476	177838	37094
610000	11939	502	178893	37373
620000	12466	533	179953	37604
630000	13021	565	181000	37829
640000	13514	580	182015	38072
650000	14079	608	183037	38278
660000	14646	642	184003	38530
670000	15228	678	184932	38770
680000	15790	691	185882	38987
690000	16361	717	186766	39225
700000	16974	738	187684	39452
710000	17614	765	188554	39670
720000	18236	793	189427	39894
730000	18901	826	190294	40112
740000	19573	854	191102	40311
750000	20226	890	191985	40539
760000	20868	923	192809	40760
770000	21557	954	193578	40970
780000	22221	992	194341	41179
790000	22936	1020	195105	41387
800000	23666	1056	195868	41585
810000	24353	1090	196618	41783
820000	25150	1126	197386	41987
830000	25877	1152	198094	42188
840000	26669	1182	198807	42382
850000	27458	1215	199513	42588
860000	28248	1247	200200	42804
870000	29078	1280	200877	43011
880000	29899	1324	201513	43220
890000	30729	1365	202200	43421
900000	31556	1406	202866	43620
910000	32375	1448	203522	43804
920000	33266	1493	204122	43991
930000	34145	1538	204698	44164
940000	35077	1584	205296	44346
950000	35947	1621	205895	44541
960000	36873	1663	206489	44738
970000	37757	1700	207069	44919
980000	38666	1746	207652	45103
990000	39594	1798	208274	45271
1000000	40548	1847	208818	45448
1010000	41527	1897	209393	45647
1020000	42562	1938	209941	45820
1030000	43569	1979	210509	45996
1040000	44571	2024	211008	46190
1050000	45597	2072	211599	46359
1060000	46668	2142	212104	46526
1070000	47689	2187	212620	46692
1080000	48679	2229	213117	46861
1090000	49666	2272	213660	47026
1100000	50728	2321	214170	47171
1110000	51813	2367	214696	47348
1120000	52875	2420	215179	47509
1130000	53958	2469	215711	47674
